Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,7.630000,7.649000,7.390000,7.440000,7.440000,5482800
2018-01-03,7.500000,7.700000,7.440000,7.490000,7.490000,4969600
2018-01-04,7.570000,7.635000,7.450000,7.570000,7.570000,3337000
2018-01-05,7.650000,7.800000,7.475000,7.520000,7.520000,3715800
2018-01-08,6.690000,7.180000,5.040000,6.560000,6.560000,59776700
2018-01-09,6.250000,6.340000,6.070000,6.170000,6.170000,15730800
2018-01-10,6.100000,6.130000,5.930000,6.050000,6.050000,7486500
2018-01-11,6.000000,6.260000,5.960000,6.150000,6.150000,5255300
2018-01-12,6.130000,6.270000,6.040000,6.230000,6.230000,5148000
2018-01-16,6.210000,6.460000,6.160000,6.360000,6.360000,7055800
2018-01-17,6.400000,6.605000,6.260000,6.340000,6.340000,5565200
2018-01-18,6.250000,6.390000,6.195000,6.270000,6.270000,2618300
2018-01-19,6.240000,6.330000,6.230000,6.290000,6.290000,3000400
2018-01-22,6.220000,6.300000,6.200000,6.300000,6.300000,1902100
2018-01-23,5.890000,6.170000,5.850000,6.120000,6.120000,6589500
2018-01-24,6.070000,6.220000,5.930000,6.100000,6.100000,4441900
2018-01-25,6.150000,6.150000,5.940000,5.960000,5.960000,4375800
2018-01-26,5.960000,5.986000,5.610000,5.650000,5.650000,7870400
2018-01-29,5.610000,5.650000,5.290000,5.320000,5.320000,8703700
2018-01-30,5.240000,5.570000,5.240000,5.470000,5.470000,5355900
2018-01-31,5.560000,5.630000,5.380000,5.470000,5.470000,2986900
2018-02-01,5.430000,5.530000,5.360000,5.500000,5.500000,3623200
2018-02-02,5.270000,5.750000,5.130000,5.550000,5.550000,8651900
2018-02-05,5.560000,5.730000,5.380000,5.520000,5.520000,5358900
2018-02-06,5.400000,5.700000,5.400000,5.630000,5.630000,4564400
2018-02-07,5.620000,5.680000,5.530000,5.610000,5.610000,3602300
2018-02-08,5.600000,5.730000,5.550000,5.580000,5.580000,3022900
2018-02-09,5.610000,5.650000,5.250000,5.460000,5.460000,4253500
2018-02-12,5.500000,5.500000,5.220000,5.260000,5.260000,4098300
2018-02-13,5.200000,5.420000,5.200000,5.290000,5.290000,2410300
2018-02-14,5.300000,5.770000,5.270000,5.670000,5.670000,4999800
2018-02-15,5.710000,5.770000,5.580000,5.620000,5.620000,1876600
2018-02-16,5.600000,5.719000,5.475000,5.490000,5.490000,3643600
2018-02-20,5.450000,5.620000,5.450000,5.570000,5.570000,2769100
2018-02-21,5.590000,5.650000,5.540000,5.550000,5.550000,1687600
2018-02-22,5.550000,5.581000,5.390000,5.460000,5.460000,1977800
2018-02-23,5.460000,5.600000,5.460000,5.590000,5.590000,1556800
2018-02-26,5.600000,5.730000,5.590000,5.650000,5.650000,2018800
2018-02-27,5.630000,5.710000,5.370000,5.460000,5.460000,3716800
2018-02-28,5.450000,5.500000,5.360000,5.380000,5.380000,1780200
2018-03-01,5.360000,5.480000,5.320000,5.420000,5.420000,2776600
2018-03-02,5.350000,5.610000,5.350000,5.560000,5.560000,3000000
2018-03-05,5.510000,5.750000,5.487000,5.730000,5.730000,2951800
2018-03-06,5.720000,5.880000,5.700000,5.830000,5.830000,2386500
2018-03-07,5.810000,5.880000,5.690000,5.790000,5.790000,1858100
2018-03-08,5.810000,5.845000,5.710000,5.740000,5.740000,1314500
2018-03-09,5.670000,5.680000,5.420000,5.510000,5.510000,3245100
2018-03-12,5.510000,5.640000,5.505000,5.630000,5.630000,2443100
2018-03-13,5.630000,5.720000,5.600000,5.630000,5.630000,1665900
2018-03-14,5.670000,5.680000,5.593000,5.610000,5.610000,1148200
2018-03-15,5.600000,5.690000,5.590000,5.620000,5.620000,1524200
2018-03-16,5.600000,5.630000,5.530000,5.540000,5.540000,2189200
2018-03-19,5.540000,5.550000,5.320000,5.330000,5.330000,2811800
2018-03-20,5.360000,5.370000,4.920000,5.000000,5.000000,5033500
2018-03-21,4.980000,5.060000,4.870000,4.920000,4.920000,2778700
2018-03-22,4.880000,4.917000,4.755000,4.780000,4.780000,3191400
2018-03-23,4.740000,4.780000,4.560000,4.580000,4.580000,3886000
2018-03-26,4.670000,4.770000,4.560000,4.730000,4.730000,3615700
2018-03-27,4.760000,5.090000,4.750000,4.910000,4.910000,5114700
2018-03-28,4.930000,4.980000,4.760000,4.840000,4.840000,2442300
2018-03-29,4.840000,4.890000,4.670000,4.790000,4.790000,1843700
2018-04-02,4.720000,4.780000,4.450000,4.530000,4.530000,4035600
2018-04-03,4.530000,4.660000,4.465000,4.540000,4.540000,3289600
2018-04-04,4.480000,4.830000,4.420000,4.780000,4.780000,3320800
2018-04-05,4.800000,4.940000,4.730000,4.910000,4.910000,1420900
2018-04-06,4.890000,5.050000,4.840000,4.880000,4.880000,1829200
2018-04-09,4.880000,4.910000,4.660000,4.710000,4.710000,2631800
2018-04-10,4.760000,4.850000,4.720000,4.760000,4.760000,1968300
2018-04-11,4.710000,4.940000,4.710000,4.870000,4.870000,1875100
2018-04-12,4.890000,5.300000,4.880000,5.220000,5.220000,8268400
2018-04-13,5.420000,5.500000,5.230000,5.260000,5.260000,5523700
2018-04-16,5.300000,5.720000,5.210000,5.580000,5.580000,6619500
2018-04-17,5.600000,5.617000,5.030000,5.040000,5.040000,7989200
2018-04-18,5.080000,5.190000,4.970000,5.060000,5.060000,4547500
2018-04-19,5.040000,5.150000,5.020000,5.130000,5.130000,2601200
2018-04-20,5.100000,5.210000,5.025000,5.070000,5.070000,2730700
2018-04-23,5.070000,5.100000,4.750000,4.810000,4.810000,4441300
2018-04-24,4.820000,4.950000,4.750000,4.930000,4.930000,2625700
2018-04-25,4.910000,5.040000,4.810000,4.860000,4.860000,2739800
2018-04-26,4.850000,4.960000,4.800000,4.940000,4.940000,1674800
2018-04-27,4.950000,4.980000,4.870000,4.880000,4.880000,1457400
2018-04-30,4.910000,5.090000,4.850000,5.060000,5.060000,2674700
2018-05-01,5.020000,5.070000,4.810000,4.910000,4.910000,4113600
2018-05-02,4.900000,5.080000,4.870000,4.970000,4.970000,2497700
2018-05-03,4.980000,5.070000,4.840000,4.960000,4.960000,4988000
2018-05-04,4.930000,5.540000,4.890000,5.450000,5.450000,12720800
2018-05-07,5.470000,5.520000,5.250000,5.430000,5.430000,4870700
2018-05-08,5.440000,5.940000,5.400000,5.680000,5.680000,6973400
2018-05-09,5.680000,5.920000,5.680000,5.700000,5.700000,3957100
2018-05-10,5.720000,5.910000,5.530000,5.560000,5.560000,4621300
2018-05-11,5.540000,5.760000,5.460000,5.740000,5.740000,2784200
2018-05-14,5.750000,5.810000,5.600000,5.650000,5.650000,2657500
2018-05-15,5.620000,5.780000,5.560000,5.740000,5.740000,2656200
